GEOID,STATION,FRQ,MARKET,ST,NUM
5502250,WRLO,FM,Antigo,WI,105.3
5502375,WAPL,FM,Appleton,WI,105.7
5504625,WBDL,FM,Baraboo,WI,102.9
5505900,WXRO,FM,Beaver Dam,WI,95.3
5515725,WJMQ,FM,Clintonville,WI,92.3
5522300,WBIZ,FM,Eau Claire,WI,100.7
5526275,WFON,FM,Fond du Lac,WI,107.1
5526675,WFAW,AM,Fort Atkinson,WI,940
5526675,WFAW,FM,Fort Atkinson,WI,103.3
5531000,WIXX,FM,Green Bay,WI,101.1
5533450,WRLS,FM,Hayward,WI,92.3
5537175,WNXR,FM,Iron River,WI,107.3
5537825,WCLO,AM,Janesville,WI,1230
5537825,WCLO,FM,Janesville,WI,92.7
5537825,WJVL,FM,Janesville,WI,99.9
5540775,WKTY,AM,La Crosse,WI,580
5540775,WKTY,FM,La Crosse,WI,96.7
5542250,WGLR,FM,Lancaster,WI,97.7
5548000,WIBA,AM,Madison,WI,1310
5548000,WIBA,FM,Madison,WI,101.5
5548500,WOMT,AM,Manitowoc,WI,1240
5548500,WOMT,FM,Manitowoc,WI,97.1
5549300,WLST,FM,Marinette,WI,95.1
5550425,WKEB,FM,Medford,WI,99.3
5553000,WTMJ,AM,Milwaukee,WI,620
5553000,WTMJ,FM,Milwaukee,WI,103.3
5561200,WCQM,FM,Park Falls,WI,98.3
5565050,WQPC,FM,Prairie du Chien,WI,94.3
5567200,WCYE,FM,Rhinelander,WI,93.7
5567350,WJMC,FM,Rice Lake,WI,96.1
5567625,WRCO,FM,Richland Center,WI,100.9
5568275,WEVR,AM,River Falls,WI,1550
5568275,WEVR,FM,River Falls,WI,106.3
5572975,WHBL,AM,Sheboygan,WI,1330
5575325,WCOW,FM,Sparta,WI,97.1
5577200,WSAU,FM,Stevens Point,WI,99.9
5578650,WDSM,AM,Superior,WI,710
5578650,WDSM,FM,Superior,WI,98.1
5584375,WDUX,FM,Waupaca,WI,92.7
5584475,WSAU,AM,Wausau,WI,550
5584475,WSAU,FM,Wausau,WI,95.1
5584625,WAUH,FM,Wautoma,WI,102.3
5586725,WHTL,FM,Whitehall,WI,102.3
2626360,WGLQ,FM,Escanaba,MI,97.1
2639360,WCUP,FM,Houghton,MI,105.7
2640960,WJNR,FM,Iron Mountain,MI,101.5
2641060,WIMI,FM,Ironwood,MI,99.7
2651900,WUPZ,FM,Marquette,MI,94.9